Symbol;<PER>;Timestamp;<TIME>;Open;High;Low;Close;Volume;Adj Close
MGNT;D;200430;0;3479;3705;3468;3690;1484139;3690
MGNT;D;200504;0;3677.5;3858;3612;3760;1340370;3760
MGNT;D;200505;0;3782.5;3824.5;3664.5;3702;661431;3702
MGNT;D;200506;0;3708.5;3740;3661;3690;675492;3690
MGNT;D;200507;0;3691.5;3731;3673;3694;483755;3694
MGNT;D;200508;0;3699.5;3710;3640.5;3663;291016;3663
MGNT;D;200512;0;3663;3667.5;3573;3575.5;535623;3575.5
MGNT;D;200513;0;3569.5;3647.5;3518;3631;546151;3631
MGNT;D;200514;0;3610;3634.5;3507;3508;621758;3508
MGNT;D;200515;0;3531;3578;3520.5;3544.5;308703;3544.5
MGNT;D;200518;0;3570;3634;3551.5;3619.5;522604;3619.5
MGNT;D;200519;0;3640;3677;3583;3657;352357;3657
MGNT;D;200520;0;3658;3686;3633;3640;400697;3640
MGNT;D;200521;0;3643;3657.5;3592.5;3600;345079;3600
MGNT;D;200522;0;3589;3621;3566;3616;208008;3616
MGNT;D;200525;0;3622;3647;3614.5;3635;119457;3635
MGNT;D;200526;0;3649;3657;3581.5;3615.5;365782;3615.5
MGNT;D;200527;0;3615.5;3779;3608.5;3744.5;856327;3744.5
MGNT;D;200528;0;3763.5;3833;3735;3827;502375;3827
MGNT;D;200529;0;3818;3833;3728;3740;518322;3740
MGNT;D;200601;0;3754;3873;3753;3832;428320;3832
MGNT;D;200602;0;3852;3908;3823.5;3899.5;590579;3899.5
MGNT;D;200603;0;3915;3934.5;3812;3869;529011;3869
MGNT;D;200604;0;3869;3887;3789.5;3836;632588;3836
MGNT;D;200605;0;3840.5;3867;3815;3846;300224;3846
MGNT;D;200608;0;3863;3989;3855;3950;622249;3950
MGNT;D;200609;0;3969;3997;3916.5;3929;367852;3929
MGNT;D;200610;0;3933;4050;3911;3995;805517;3995
MGNT;D;200611;0;3955;4104;3930;4004;786098;4004
MGNT;D;200615;0;3984.5;4060;3924.5;3985.5;606762;3985.5
MGNT;D;200616;0;4010;4043.5;3945;3950;409007;3950
MGNT;D;200617;0;3969.5;3990;3904;3945;542551;3945
MGNT;D;200618;0;3805;3847;3791;3820;725669;3820
MGNT;D;200619;0;3840.5;3980;3832;3980;867710;3980
MGNT;D;200622;0;3960;4086;3907;4076;655479;4076
MGNT;D;200623;0;4083;4204.5;4083;4115;715543;4115
MGNT;D;200625;0;4098.5;4167;4066;4140.5;870462;4140.5
MGNT;D;200626;0;4145;4224;4134.5;4180.5;558665;4180.5
MGNT;D;200629;0;4182.5;4208.5;4114;4156.5;332486;4156.5
MGNT;D;200630;0;4153.5;4174.5;4020.5;4035;439418;4035
MGNT;D;200702;0;4054;4218;4047;4202;514032;4202
MGNT;D;200703;0;4205;4234.5;4179;4222;287251;4222
MGNT;D;200706;0;4236;4374;4236;4332;494536;4332
MGNT;D;200707;0;4322.5;4334;4235.5;4242;599546;4242
MGNT;D;200708;0;4240;4276.5;4184;4225;364001;4225
MGNT;D;200709;0;4224;4385;4224;4337;674716;4337
MGNT;D;200710;0;4320;4377;4272.5;4307;519649;4307
MGNT;D;200713;0;4315.5;4357.5;4274;4291;327645;4291
MGNT;D;200714;0;4305.5;4307;4125;4259.5;403736;4259.5
MGNT;D;200715;0;4264.5;4333;4237.5;4298;278935;4298
MGNT;D;200716;0;4285;4360.5;4218;4303.5;361755;4303.5
MGNT;D;200717;0;4300.5;4328.5;4264;4302;176026;4302
MGNT;D;200720;0;4299;4495;4276.5;4476.5;570102;4476.5
MGNT;D;200721;0;4487;4662.5;4480;4648;717238;4648
MGNT;D;200722;0;4647;4756;4610.5;4690;859724;4690
MGNT;D;200723;0;4700;4756;4675.5;4720;648464;4720
MGNT;D;200724;0;4717;4804.5;4692.5;4782.5;464885;4782.5
MGNT;D;200727;0;4794;4854.5;4680;4752;554837;4752
MGNT;D;200728;0;4755;4795;4713.5;4768;303507;4768
MGNT;D;200729;0;4762;4788;4600;4698;815281;4698
MGNT;D;200730;0;4707;4775;4622;4675.5;499186;4675.5
MGNT;D;200731;0;4652.5;4686.5;4555;4586;545908;4586
MGNT;D;200803;0;4586;4668;4574;4614;440772;4614
MGNT;D;200804;0;4630;4665;4600.5;4658.5;276765;4658.5
MGNT;D;200805;0;4666;4705.5;4591.5;4632;333049;4632
MGNT;D;200806;0;4630.5;4635;4572.5;4606.5;321495;4606.5
MGNT;D;200807;0;4603;4627;4534;4618;309905;4618
MGNT;D;200810;0;4622;4675;4577;4613.5;263586;4613.5
MGNT;D;200811;0;4613;4655;4563.5;4622;368984;4622
MGNT;D;200812;0;4636;4646;4581;4619.5;343556;4619.5
MGNT;D;200813;0;4619.5;4780;4593.5;4738.5;509353;4738.5
MGNT;D;200814;0;4740;4784;4676;4763.5;561231;4763.5
MGNT;D;200817;0;4764;4817.5;4647.5;4688;518607;4688
MGNT;D;200818;0;4670;4739;4655;4690.5;321094;4690.5
MGNT;D;200819;0;4695;4711.5;4661.5;4671.5;252837;4671.5
MGNT;D;200820;0;4659.5;4659.5;4523.5;4561.5;533803;4561.5
MGNT;D;200821;0;4558.5;4585;4438;4523;368723;4523
MGNT;D;200824;0;4548.5;4613;4532.5;4608;335463;4608
MGNT;D;200825;0;4615.5;4644.5;4576;4642.5;473599;4642.5
MGNT;D;200826;0;4642;4676;4606.5;4666;302374;4666
MGNT;D;200827;0;4666;4746;4652.5;4728;422233;4728
MGNT;D;200828;0;4729;4730;4560;4581.5;481042;4581.5
MGNT;D;200831;0;4590;4603;4420.5;4474.5;468217;4474.5
MGNT;D;200901;0;4480;4540;4376;4497.5;556547;4497.5
MGNT;D;200902;0;4500;4619;4444.5;4564.5;518184;4564.5
MGNT;D;200903;0;4575.5;4597.5;4537.5;4565;274496;4565
MGNT;D;200904;0;4559.5;4616;4528;4590.5;251453;4590.5
MGNT;D;200907;0;4580;4604.5;4540;4558.5;150741;4558.5
MGNT;D;200908;0;4562;4582.5;4448.5;4535;312059;4535
MGNT;D;200909;0;4532;4532;4403;4456;279467;4456
MGNT;D;200910;0;4463;4518;4420;4475;217757;4475
MGNT;D;200911;0;4490;4685;4468;4663.5;322222;4663.5
MGNT;D;200914;0;4685;4773.5;4632;4671.5;458729;4671.5
MGNT;D;200915;0;4663;4758;4609.5;4724.5;382678;4724.5
MGNT;D;200916;0;4735.5;4753;4637;4710;274442;4710
MGNT;D;200917;0;4683;4889.5;4677;4863;787198;4863
MGNT;D;200918;0;4867;4875;4788;4805;394972;4805
MGNT;D;200921;0;4813;4813;4691.5;4772.5;468255;4772.5
MGNT;D;200922;0;4762;4965;4717;4962;654074;4962
MGNT;D;200923;0;4951;5138.5;4918;4989.5;762604;4989.5
MGNT;D;200924;0;4980.5;5082;4966;5057;584374;5057
MGNT;D;200925;0;5062;5129.5;4976.5;5025;484960;5025
MGNT;D;200928;0;5040;5114;5023;5080;347077;5080
MGNT;D;200929;0;5068;5086.5;4926;4965.5;492171;4965.5
MGNT;D;200930;0;4954;4995.5;4874.5;4956;440560;4956
MGNT;D;201001;0;4983.5;5022;4850;4896;419660;4896
MGNT;D;201002;0;4860;4940;4853.5;4906.5;308123;4906.5
MGNT;D;201005;0;4917;4949.5;4872;4895;323020;4895
MGNT;D;201006;0;4901;4911;4858;4879;214699;4879
MGNT;D;201007;0;4877;4897;4692;4766.5;603324;4766.5
MGNT;D;201008;0;4770;4799;4695;4722;389157;4722
MGNT;D;201009;0;4719.5;4719.5;4597;4690.5;330711;4690.5
MGNT;D;201012;0;4699;4863;4676;4859;428179;4859
MGNT;D;201013;0;4852;4934.5;4785;4837;448933;4837
MGNT;D;201014;0;4839;4931.5;4818.5;4912;369365;4912
MGNT;D;201015;0;4902.5;4912;4702;4741;357136;4741
MGNT;D;201016;0;4738.5;4804.5;4687;4782;358808;4782
MGNT;D;201019;0;4787.5;4950;4777.5;4914.5;441176;4914.5
MGNT;D;201020;0;4929;5023;4867.5;4910.5;506574;4910.5
MGNT;D;201021;0;4912;4934;4829;4863;267046;4863
MGNT;D;201022;0;4849;4925;4831;4900.5;212813;4900.5
MGNT;D;201023;0;4898.5;4908;4825.5;4855.5;176391;4855.5
MGNT;D;201026;0;4829;4894;4760;4799.5;254788;4799.5
MGNT;D;201027;0;4817.5;4862;4763;4784;263856;4784
MGNT;D;201028;0;4775;4783.5;4636;4702;403906;4702
MGNT;D;201029;0;4710;4742;4581;4659;603634;4659
MGNT;D;201030;0;4636;4728;4542;4706;356991;4706
MGNT;D;201102;0;4706;4844;4635;4829;291287;4829
MGNT;D;201103;0;4833;4900;4728;4770;415512;4770
MGNT;D;201105;0;4820;4860.5;4708;4741.5;344948;4741.5
MGNT;D;201106;0;4749;4827.5;4694.5;4796;400139;4796
MGNT;D;201109;0;4820;4930;4797.5;4893.5;487087;4893.5
MGNT;D;201110;0;4885;4985.5;4880;4945;333565;4945
MGNT;D;201111;0;4961;5003.5;4754;4780;523010;4780
MGNT;D;201112;0;4777;4974.5;4771;4910;478098;4910
MGNT;D;201113;0;4930;4946.5;4831;4932;251469;4932
MGNT;D;201116;0;4947;5025;4906.5;4982;396031;4982
MGNT;D;201117;0;4993.5;5000;4848;4891.5;319977;4891.5
MGNT;D;201118;0;4891.5;5001;4850;4980;442458;4980
MGNT;D;201119;0;4998;5096.5;4943;5012.5;632419;5012.5
MGNT;D;201120;0;5001;5028.5;4900;4933;390445;4933
MGNT;D;201123;0;4934;4989;4883;4945;366980;4945
MGNT;D;201124;0;4960;4968.5;4876.5;4910;319868;4910
MGNT;D;201125;0;4915;4935;4806.5;4891.5;555502;4891.5
MGNT;D;201126;0;4897;4995;4874.5;4971.5;309192;4971.5
MGNT;D;201127;0;4977.5;4997;4936.5;4985.5;272493;4985.5
MGNT;D;201130;0;4969.5;5043.5;4947;4979;303833;4979
MGNT;D;201201;0;4979;5057;4961.5;5019.5;290875;5019.5
MGNT;D;201202;0;5004;5038;4968.5;4995;232363;4995
MGNT;D;201203;0;4998.5;5054;4950.5;5008;485355;5008
MGNT;D;201204;0;5013.5;5034;4975;4992.5;151598;4992.5
MGNT;D;201207;0;4994.5;5050;4992;5008;202118;5008
MGNT;D;201208;0;5022.5;5055.5;5000;5040.5;282800;5040.5
MGNT;D;201209;0;5051.5;5426;5048;5384;1358687;5384
MGNT;D;201210;0;5396;5496;5309;5384.5;908425;5384.5
MGNT;D;201211;0;5359;5418;5321.5;5381;309310;5381
MGNT;D;201214;0;5391;5549;5385;5512;574282;5512
MGNT;D;201215;0;5524;5548;5445;5494;306982;5494
MGNT;D;201216;0;5483;5537.5;5406.5;5432;324675;5432
MGNT;D;201217;0;5441.5;5457.5;5368;5421;382297;5421
MGNT;D;201218;0;5414;5498.5;5384;5449;332646;5449
MGNT;D;201221;0;5441;5444;5284;5362;571561;5362
MGNT;D;201222;0;5337.5;5394.5;5321.5;5346;283565;5346
MGNT;D;201223;0;5340;5382;5287.5;5356;272274;5356
MGNT;D;201224;0;5362;5468.5;5339;5424.5;260208;5424.5
MGNT;D;201225;0;5421.5;5486;5420;5474.5;179783;5474.5
MGNT;D;201228;0;5487;5607.5;5483.5;5599;368382;5599
MGNT;D;201229;0;5613;5687.5;5587.5;5643;425425;5643
MGNT;D;201230;0;5670;5714;5635;5685.5;424833;5685.5
MGNT;D;210104;0;5700;5784.5;5700;5744;389580;5744
MGNT;D;210105;0;5749;5770;5688.5;5762.5;523336;5762.5
MGNT;D;210106;0;5558;5620;5500;5534;748238;5534
MGNT;D;210108;0;5536.5;5590;5439.5;5478;685315;5478
MGNT;D;210111;0;5462;5546;5410;5484.5;381305;5484.5
MGNT;D;210112;0;5484;5541;5425;5450.5;384309;5450.5
MGNT;D;210113;0;5451.5;5473.5;5351;5410;292518;5410
MGNT;D;210114;0;5403;5423;5345;5375.5;284274;5375.5
MGNT;D;210115;0;5370;5373;5150;5210;1082136;5210
MGNT;D;210118;0;5209.5;5254;5143.5;5219;558907;5219
MGNT;D;210119;0;5232.5;5254;5134.5;5183.5;443464;5183.5
MGNT;D;210120;0;5188.5;5220;5125;5161.5;496304;5161.5
MGNT;D;210121;0;5170;5192.5;5045.5;5060;553023;5060
MGNT;D;210122;0;5054;5054;4918;4991;706032;4991
MGNT;D;210125;0;4984.5;5175;4983.5;5168.5;751937;5168.5
MGNT;D;210126;0;5147;5211;5125.5;5175;461057;5175
MGNT;D;210127;0;5180;5187;5070;5087.5;406595;5087.5
MGNT;D;210128;0;5049.5;5071;4981;5060;394757;5060
MGNT;D;210129;0;5031.5;5045;4900.5;4924;551594;4924
MGNT;D;210201;0;4941.5;5017;4865;4948.5;490220;4948.5
MGNT;D;210202;0;4949;5096.5;4949;5014.5;716539;5014.5
MGNT;D;210203;0;5013.5;5081.5;4987.5;5048.5;394810;5048.5
MGNT;D;210204;0;5055.5;5160;5005;5062.5;731022;5062.5
MGNT;D;210205;0;5082;5097;4953;4996;511451;4996
MGNT;D;210208;0;5013;5117;5005;5107.5;554832;5107.5
MGNT;D;210209;0;5112;5298.5;5110;5273;870072;5273
MGNT;D;210210;0;5295.5;5312;5125.5;5197;542689;5197
MGNT;D;210211;0;5177;5196.5;5090;5117.5;496228;5117.5
MGNT;D;210212;0;5100;5174;5036;5169;493207;5169
MGNT;D;210215;0;5187;5289;5186.5;5280;556501;5280
MGNT;D;210216;0;5285;5336;5271.5;5297.5;473145;5297.5
MGNT;D;210217;0;5300.5;5320;5211;5260;538090;5260
MGNT;D;210218;0;5244.5;5269;5076;5155.5;762248;5155.5
MGNT;D;210219;0;5160;5196;5110.5;5172.5;383471;5172.5
MGNT;D;210220;0;5155;5169;5125;5149.5;33555;5149.5
MGNT;D;210222;0;5161.5;5169.5;5055;5098;271104;5098
MGNT;D;210224;0;5091;5092.5;4957;5008;546134;5008
MGNT;D;210225;0;4998;5027;4889.5;4919.5;713489;4919.5
MGNT;D;210226;0;4900.5;4974.5;4872.5;4929;458905;4929
MGNT;D;210301;0;4957;4974.5;4916.5;4970.5;345421;4970.5
MGNT;D;210302;0;4965;5080;4938;5068.5;393648;5068.5
MGNT;D;210303;0;5080;5130.5;5016;5030;466695;5030
MGNT;D;210304;0;5035.5;5059;4953;4965.5;315202;4965.5
MGNT;D;210305;0;4983;5059.5;4906.5;5010;569971;5010
MGNT;D;210309;0;5024.5;5044.5;4936;4980.5;515133;4980.5
MGNT;D;210310;0;4975;5125;4966.5;5070;366323;5070
MGNT;D;210311;0;5089.5;5104;5031;5096.5;254304;5096.5
MGNT;D;210312;0;5100;5135.5;5074.5;5135.5;293522;5135.5
MGNT;D;210315;0;5149;5217.5;5142;5217.5;394556;5217.5
MGNT;D;210316;0;5207;5209.5;5132.5;5170.5;306942;5170.5
MGNT;D;210317;0;5195;5309;5170;5274.5;583209;5274.5
MGNT;D;210318;0;5283.5;5463.5;5275;5362;915441;5362
MGNT;D;210319;0;5375.5;5494;5301;5428.5;828789;5428.5
MGNT;D;210322;0;5435;5515;5374;5409;396221;5409
MGNT;D;210323;0;5400;5446.5;5282.5;5300.5;446257;5300.5
MGNT;D;210324;0;5318;5423;5308;5354.5;351371;5354.5
MGNT;D;210325;0;5370.5;5397;5250;5294.5;254876;5294.5
MGNT;D;210326;0;5301;5365;5289.5;5348;223178;5348
MGNT;D;210329;0;5314.5;5354;5256;5300;374734;5300
MGNT;D;210330;0;5332;5332;5281;5281;129101;5281
MGNT;D;210331;0;5282.5;5384;5268;5344.5;281065;5344.5
MGNT;D;210401;0;5357;5375.5;5270;5293.5;262969;5293.5
MGNT;D;210402;0;5295.5;5318.5;5273;5301.5;89435;5301.5
MGNT;D;210405;0;5290.5;5297;5202;5254.5;214581;5254.5
MGNT;D;210406;0;5259;5273.5;5096;5110.5;441607;5110.5
MGNT;D;210407;0;5114;5147;5040;5080;523524;5080
MGNT;D;210408;0;5080.5;5149;5033.5;5099;333972;5099
MGNT;D;210409;0;5107;5159;5060;5135;335742;5135
MGNT;D;210412;0;5147;5214.5;5125;5180;210750;5180
MGNT;D;210413;0;5181;5188.5;5086.5;5134.5;402712;5134.5
MGNT;D;210414;0;5137;5146;5070.5;5095;319263;5095
MGNT;D;210415;0;5073.5;5132;5046;5111.5;287983;5111.5
MGNT;D;210416;0;5135;5141.5;5083;5111.5;242272;5111.5
MGNT;D;210419;0;5117;5139;5081;5095.5;170630;5095.5
MGNT;D;210420;0;5102;5116.5;5054;5086;274908;5086
MGNT;D;210421;0;5077.5;5156.5;5071;5140;298355;5140
MGNT;D;210422;0;5129.5;5200;5100;5153.5;512716;5153.5
MGNT;D;210423;0;5153.5;5302.5;5130;5258;656956;5258
MGNT;D;210426;0;5306;5349;5255;5277;368435;5277
MGNT;D;210427;0;5283.5;5334;5215;5255;315832;5255
MGNT;D;210428;0;5255;5273.5;5166;5226;218274;5226
MGNT;D;210429;0;5231;5265;5083;5113.5;366747;5113.5
MGNT;D;210430;0;5116.5;5137;5070;5119;293771;5119
MGNT;D;210504;0;5135;5208.5;5131.5;5195;301887;5195
MGNT;D;210505;0;5200.5;5254.5;5144.5;5211;401030;5211
MGNT;D;210506;0;5215;5218;5135;5170;293274;5170
MGNT;D;210507;0;5167.5;5170;5093;5129.5;272200;5129.5
MGNT;D;210510;0;5127.5;5135;5065;5091.5;352679;5091.5
MGNT;D;210511;0;5090;5171.5;5081;5156;350973;5156
MGNT;D;210512;0;5145;5158;5065.5;5099.5;479750;5099.5
MGNT;D;210513;0;5099;5154;5089.5;5122;319780;5122
MGNT;D;210514;0;5122.5;5203;5122.5;5155.5;279172;5155.5
MGNT;D;210517;0;5155;5200;5103.5;5149.5;232862;5149.5
MGNT;D;210518;0;5164.5;5395;5153;5256;2440178;5256
MGNT;D;210519;0;5260.5;5301;5151;5226.5;516892;5226.5
MGNT;D;210520;0;5232;5241.5;5141.5;5161;335771;5161
MGNT;D;210521;0;5163;5315;5163;5300.5;591373;5300.5
MGNT;D;210524;0;5317;5345;5265.5;5282;296527;5282
MGNT;D;210525;0;5279.5;5348;5255.5;5331;283530;5331
MGNT;D;210526;0;5330.5;5410;5317;5346.5;357235;5346.5
MGNT;D;210527;0;5330;5385;5300;5362;354701;5362
MGNT;D;210528;0;5378;5433;5361.5;5409.5;335283;5409.5
MGNT;D;210531;0;5420;5474.5;5420;5460.5;243315;5460.5
MGNT;D;210601;0;5480;5524.5;5442;5469.5;402900;5469.5
MGNT;D;210602;0;5476;5500;5432;5471.5;257450;5471.5
MGNT;D;210603;0;5466.5;5502;5439;5459;299888;5459
MGNT;D;210604;0;5476.5;5476.5;5382.5;5445;321749;5445
MGNT;D;210607;0;5445;5471;5390.5;5417;240113;5417
MGNT;D;210608;0;5430.5;5452.5;5338.5;5396;325771;5396
MGNT;D;210609;0;5400;5403;5345;5384.5;194043;5384.5
MGNT;D;210610;0;5385;5398.5;5315;5379.5;295036;5379.5
MGNT;D;210611;0;5384.5;5459.5;5345;5405;430067;5405
MGNT;D;210614;0;5394;5460;5392.5;5449;235351;5449
MGNT;D;210615;0;5455;5499;5422.5;5457.5;354744;5457.5
MGNT;D;210616;0;5460;5505;5451;5486;494842;5486
MGNT;D;210617;0;5466.5;5568.5;5462;5559;506767;5559
MGNT;D;210618;0;5555.5;5685;5460;5605;685824;5605
MGNT;D;210621;0;5595;5670;5586;5650;510133;5650
MGNT;D;210622;0;5675;5686.5;5585.5;5606;517615;5606
MGNT;D;210623;0;5607;5628;5550;5569;732605;5569
MGNT;D;210624;0;5323;5363;5275;5319.5;602009;5319.5
MGNT;D;210625;0;5323;5335.5;5290;5324.5;181667;5324.5
MGNT;D;210628;0;5314.5;5339;5296;5302.5;267538;5302.5
MGNT;D;210629;0;5284.5;5371.5;5270;5324;233777;5324
MGNT;D;210630;0;5353;5355;5280;5301;247627;5301
MGNT;D;210701;0;5290;5324;5271;5282.5;174350;5282.5
MGNT;D;210702;0;5288.5;5303;5225.5;5250;300406;5250
MGNT;D;210705;0;5261;5283;5221;5232;196005;5232
MGNT;D;210706;0;5230;5311;5202;5241;371745;5241
MGNT;D;210707;0;5264.5;5328;5239.5;5310;303941;5310
MGNT;D;210708;0;5310;5357.5;5245;5344;307485;5344
MGNT;D;210709;0;5352;5368;5302;5322.5;237858;5322.5
MGNT;D;210712;0;5329.5;5370;5320;5365;136407;5365
MGNT;D;210713;0;5369;5417.5;5344.5;5416.5;323005;5416.5
MGNT;D;210714;0;5423;5425;5382.5;5385;189647;5385
MGNT;D;210715;0;5385;5437.5;5287.5;5308;326007;5308
MGNT;D;210716;0;5308;5335;5205;5235;295663;5235
MGNT;D;210719;0;5214;5237;5055.5;5099;402003;5099
MGNT;D;210720;0;5109.5;5133;5067.5;5096.5;174190;5096.5
MGNT;D;210721;0;5110;5149;5080;5142;151683;5142
MGNT;D;210722;0;5152;5159.5;5071;5128;218313;5128
MGNT;D;210723;0;5136.5;5168;5104;5130;183417;5130
MGNT;D;210726;0;5119;5215;5097;5215;279104;5215
MGNT;D;210727;0;5225;5247.5;5155.5;5198.5;255886;5198.5
MGNT;D;210728;0;5209.5;5278.5;5200;5265;235611;5265
MGNT;D;210729;0;5307.5;5375;5261;5347;292396;5347
MGNT;D;210730;0;5340;5399.5;5326.5;5337;346837;5337
MGNT;D;210802;0;5361;5376;5306;5321;216911;5321
MGNT;D;210803;0;5344;5395;5324;5383;234165;5383
MGNT;D;210804;0;5398;5456;5386.5;5415;297281;5415
MGNT;D;210805;0;5415;5515;5404.5;5489.5;506706;5489.5
MGNT;D;210806;0;5496;5510;5455;5458.5;185302;5458.5
MGNT;D;210809;0;5452;5494.5;5416;5457;278355;5457
MGNT;D;210810;0;5468;5484.5;5432.5;5458;304453;5458
MGNT;D;210811;0;5468.5;5507;5440;5465;240920;5465
MGNT;D;210812;0;5474.5;5545;5453.5;5537.5;444306;5537.5
MGNT;D;210813;0;5546;5611;5433;5504.5;837796;5504.5
MGNT;D;210816;0;5463.5;5487;5380;5466;346230;5466
MGNT;D;210817;0;5471.5;5568;5471.5;5523.5;303759;5523.5
MGNT;D;210818;0;5530;5620;5518;5555;269970;5555
MGNT;D;210819;0;5540;5598;5514;5573;275808;5573
